active_wallets,avg_gas_price,day,failed_tx,success_tx,total_gas_used,tx_count
89245,15557669176.518002,2021-02-11,627950,1079497,172977350062,1707447
82922,15490488731.696762,2021-02-12,512494,989413,153221393612,1501907
83970,14971467331.419594,2021-02-13,381378,878374,141040593692,1259752
92602,14788199176.871273,2021-02-14,511363,1150287,196406325960,1661650
99789,16352840383.889763,2021-02-15,498882,1108125,236797052604,1607007
110605,16246919343.18859,2021-02-16,518711,1410135,279345207915,1928846
123280,16288140827.492582,2021-02-17,608552,1515968,293729113524,2124520
137628,15927497645.384455,2021-02-18,710166,1771526,374799107214,2481692
168895,15894904091.764814,2021-02-19,921709,2300418,410634672104,3222127
184743,16588236322.5351,2021-02-20,689574,2155018,366871572344,2844592
158932,15395891798.076307,2021-02-21,517582,1819191,358152397550,2336773
165047,16372927288.35251,2021-02-22,593135,2049526,374059696707,2642661
137155,18200689092.280304,2021-02-23,600288,2107279,330889438525,2707567
148760,15271006170.367533,2021-02-24,560203,2111254,350412967262,2671457
145570,13724692770.6544,2021-02-25,691136,2079138,367902377617,2770274
142851,13617955784.893768,2021-02-26,639541,2183850,473071893066,2823391
140418,13063244250.713707,2021-02-27,591001,1968462,494788386176,2559463
132887,13092931626.3756,2021-02-28,510132,1905174,473925012967,2415306
162416,12786831434.69134,2021-03-01,499901,2016646,484489139527,2516547
172325,12854739943.253386,2021-03-02,469398,2087976,492930670562,2557374
171163,12439907699.677973,2021-03-03,359039,1874533,343946444836,2233572
172298,12434171068.323557,2021-03-04,471357,2234412,275101620508,2705769
155331,12293054631.841724,2021-03-05,420412,1878325,245016303577,2298737
145725,12624299724.898272,2021-03-06,356504,1706642,231218898050,2063146
157535,12566832318.421888,2021-03-07,415603,1919963,279777291697,2335566
162389,12240211072.923222,2021-03-08,364560,1836835,250120332320,2201395
183369,13695615241.850475,2021-03-09,354309,2014041,266676492855,2368350
211392,13096171870.648855,2021-03-10,469426,2141225,286275599917,2610651
204030,12959993247.32112,2021-03-11,626370,2304525,310754470029,2930895
207613,13549507881.476875,2021-03-12,637486,2112254,280308675524,2749740
191392,12815990827.432978,2021-03-13,471930,1986393,270642025256,2458323
206616,13389383494.483541,2021-03-14,415906,2138476,298699911322,2554382
220188,13222234686.650583,2021-03-15,565242,2351324,342448172108,2916566
212328,13422769772.261593,2021-03-16,703290,3023286,341795552097,3726576
212690,13708482866.449062,2021-03-17,456695,2264431,303933629646,2721126
254956,14061682550.629852,2021-03-18,600876,2608881,333016338617,3209757
230235,14047893002.60909,2021-03-19,500733,2356897,289109078354,2857630
206336,13772431978.8397,2021-03-20,405703,2248289,260285481527,2653992
225734,14179451470.670624,2021-03-21,386478,2143865,272762035737,2530343
264725,14617892878.108156,2021-03-22,459499,2303248,297580265207,2762747
241216,14944023167.658083,2021-03-23,495628,2249464,310154607068,2745092
263081,14482116267.985846,2021-03-24,550873,2687782,360506429243,3238655
269485,16170493972.049427,2021-03-25,584385,2645470,364130495373,3229855
294930,15742141755.618742,2021-03-26,548904,2473339,321366978121,3022243
243950,16736215406.970493,2021-03-27,481627,2209962,311725271599,2691589
251128,16136517428.277328,2021-03-28,500510,2142785,295898295528,2643295
276378,16128351414.734777,2021-03-29,595384,2308793,311388438864,2904177
296540,16060556577.038805,2021-03-30,432441,2520136,316758271298,2952577
333643,15293993412.920868,2021-03-31,438962,2578811,328165181585,3017773
307758,13941862349.09727,2021-04-01,435085,2797765,347609231755,3232850
354014,15377115027.817596,2021-04-02,530276,3120333,394905859931,3650609
355002,15218040719.846716,2021-04-03,487654,2998167,395477903936,3485821
354684,14983104269.828787,2021-04-04,476529,2948773,403456959738,3425302
371109,15810865799.259815,2021-04-05,545013,3361602,439624165170,3906615
353514,16446345884.935036,2021-04-06,505761,3083965,414691793158,3589726
345042,12541535484.722227,2021-04-07,532231,3493967,451338034643,4026198
385954,9592985474.05321,2021-04-08,662518,4332637,617121912024,4995155
424785,10880497424.193096,2021-04-09,534844,4091492,548624466198,4626336
418440,10003758438.373192,2021-04-10,650939,3675588,522548877496,4326527
367439,8540235116.372589,2021-04-11,683977,3463694,483717708424,4147671
423091,9173218128.840185,2021-04-12,778210,4084659,559204286434,4862869
405305,7928480769.425964,2021-04-13,733228,3653721,491981802090,4386949
405170,8319557666.092316,2021-04-14,610037,3264020,496995213289,3874057
444722,7247548923.266057,2021-04-15,649748,4087521,544703993767,4737269
456943,8534000494.977329,2021-04-16,773606,3908964,533137460629,4682570
491656,7488219201.428238,2021-04-17,833163,3923273,572983810927,4756436
466553,7279112143.698154,2021-04-18,821079,4267940,645226361295,5089019
632830,7139046476.254212,2021-04-19,1147344,4864678,809964189948,6012022
919340,7411504413.848829,2021-04-20,1656111,6509826,1205976089351,8165937
991680,7197642139.841431,2021-04-21,2149693,6981663,1335966432467,9131356
777645,7344604398.1246195,2021-04-22,1283852,5900201,995785807179,7184053
620525,6999852974.703029,2021-04-23,1237645,6036019,857751739935,7273664
652753,6492522504.258347,2021-04-24,1459258,7110733,972867439549,8569991
678746,6658439692.654308,2021-04-25,1148445,6061336,876827267665,7209781
741790,7085017229.470577,2021-04-26,1419131,6778999,957219457638,8198130
748584,7004861098.234444,2021-04-27,1533260,6498359,896867924982,8031619
635374,6945678073.292386,2021-04-28,1292765,6276352,838632926873,7569117
663505,6624293898.422867,2021-04-29,1527150,6905101,866470802379,8432251
695639,7152328947.583824,2021-04-30,1210859,6351932,855045886135,7562791
598192,6750130900.550415,2021-05-01,1039140,6262567,834086522452,7301707
621281,6301450135.588783,2021-05-02,1257106,7214237,918202085075,8471343
639474,6324595821.937306,2021-05-03,1588800,7579254,962033154672,9168054
632162,6532874037.8470545,2021-05-04,1378438,6447394,875191993810,7825832
662252,6554472023.084641,2021-05-05,1423047,6471666,901564705689,7894713
746166,6717962946.244503,2021-05-06,1662431,6725430,1020641747759,8387861
760702,6508814111.248425,2021-05-07,1647939,7181071,1058021781131,8829010
790545,6398124372.316084,2021-05-08,1477529,6953963,1026574558175,8431492
879106,6653998134.903889,2021-05-09,1699970,8013752,1157043789246,9713722
1027437,9068646375.373539,2021-05-10,1788059,6848855,1044394980686,8636914
1179634,13586520241.700092,2021-05-11,1722998,7493602,1225836143803,9216600
1192268,10832179141.656908,2021-05-12,1690922,8661627,1293994597628,10352549
995490,8580327546.645729,2021-05-13,1559111,8722070,1203803375111,10281181
1051399,7400947089.924269,2021-05-14,1728038,10110291,1307078040658,11838329
1048737,7347086104.112379,2021-05-15,1431872,9497177,1282998741524,10929049
1016993,7241259592.050133,2021-05-16,1106234,8601845,1202050667670,9708079
908552,7262841690.717867,2021-05-17,1016258,7919655,1147571031690,8935913
927615,7316570871.817895,2021-05-18,899672,7920796,1147685370898,8820468
879602,9668018241.794807,2021-05-19,1066300,9025197,1222153900633,10091497
906437,9338256828.879982,2021-05-20,1175708,9175453,1183472565388,10351161
866331,8519298614.733937,2021-05-21,840773,6977843,923702480486,7818616
630218,8162177737.943509,2021-05-22,530541,5167351,701431136903,5697892
596389,9224853184.514355,2021-05-23,816913,6000121,894381495879,6817034
634264,7891561363.141072,2021-05-24,664628,4710444,751476925929,5375072
627670,7413494593.58581,2021-05-25,573451,4539021,725032536360,5112472
668715,7215563615.349303,2021-05-26,506079,4595101,739483958285,5101180
908522,7424583747.228236,2021-05-27,749476,6453280,888473352664,7202756
683050,7414309847.31445,2021-05-28,522670,4775418,743730085284,5298088
581566,7016759979.991069,2021-05-29,457296,4165885,683624587972,4623181
610939,7292960992.640406,2021-05-30,405688,4091452,643584953806,4497140
645261,6754517487.964455,2021-05-31,412875,4305559,699711394372,4718434
670865,7754894915.219171,2021-06-01,519345,4694445,762771892130,5213790
704790,6569991280.317391,2021-06-02,538412,4759165,795828845632,5297577
693014,7336925994.033256,2021-06-03,442652,4647384,749732802597,5090036
635555,7202234089.443558,2021-06-04,442890,4454072,709873398626,4896962
650089,7051449373.305777,2021-06-05,469898,4361892,724441486787,4831790
684501,6297476354.792513,2021-06-06,358606,4089226,651066292725,4447832
696269,6808913089.014774,2021-06-07,478834,4632576,740399126070,5111410
633498,6596954470.565424,2021-06-08,367195,4051710,652990665925,4418905
651729,6704597601.146488,2021-06-09,356506,4047969,652799180889,4404475
622864,6364153602.296443,2021-06-10,344695,4114302,646932064012,4458997
612326,6905398875.451246,2021-06-11,447249,3947783,645276306671,4395032
572714,6871119540.663631,2021-06-12,348694,3591051,566018182949,3939745
634274,7640859571.240721,2021-06-13,354780,3793413,571869515146,4148193
686176,7130053029.139471,2021-06-14,373221,4006914,598439859039,4380135
734112,6903583593.697222,2021-06-15,446918,4240899,656978449244,4687817
779092,6726751307.748973,2021-06-16,407991,4660884,665970903214,5068875
901282,7545514327.968934,2021-06-17,421479,4968093,666957631141,5389572
1009998,8016081615.170733,2021-06-18,458783,5038530,644175431121,5497313
738406,7466964039.795116,2021-06-19,357225,3834161,563095490956,4191386
519869,8157437807.893073,2021-06-20,331701,3332377,521747347266,3664078
584535,7563259739.417597,2021-06-21,467314,4033937,642120688213,4501251
511107,9454316113.644709,2021-06-22,599659,3865328,640551284164,4464987
505648,7333519010.185986,2021-06-23,361716,3302248,592563183781,3663964
526441,8502656791.956571,2021-06-24,396844,3324140,567293444539,3720984
507947,8101656256.68779,2021-06-25,423401,3333195,587149241456,3756596
426552,8175662168.469129,2021-06-26,356418,2794113,485809119492,3150531
424312,6851943029.933564,2021-06-27,427748,2779256,497739684261,3207004
466362,7889348736.567688,2021-06-28,691959,2916392,547827555355,3608351
497039,8408787668.090779,2021-06-29,566998,3056570,544821488646,3623568
457923,9901405662.386484,2021-06-30,447258,2907417,499478057684,3354675
502092,6514202954.166914,2021-07-01,446846,3178225,557874597847,3625071
467756,10632438029.76771,2021-07-02,602507,2768830,508154581988,3371337
465089,7387982461.370104,2021-07-03,320601,2819813,526765283588,3140414
556379,9348590015.986784,2021-07-04,501178,3334744,596125964799,3835922
553903,10680169130.59023,2021-07-05,468215,3375113,622913310464,3843328
579427,9651088835.228529,2021-07-06,472984,3513690,654740291810,3986674
572860,10508731477.519138,2021-07-07,429581,3371241,624733117458,3800822
514715,9131288580.615145,2021-07-08,429687,3101869,570023749404,3531556
519029,8976942256.415934,2021-07-09,432331,3255243,583515660163,3687574
477326,7905472443.484494,2021-07-10,449235,3013850,578846659662,3463085
470025,7098250763.116651,2021-07-11,343822,2888833,544409514192,3232655
559767,9619692160.298954,2021-07-12,453393,3336774,597915806045,3790167
510686,8559717687.540831,2021-07-13,311846,3080328,582310352269,3392174
534518,9682860887.633316,2021-07-14,364498,3331347,595281248685,3695845
549606,7228461935.445205,2021-07-15,508530,3599534,599161393092,4108064
522062,6672725829.57375,2021-07-16,459720,3267942,556652964484,3727662
500030,6251005098.696489,2021-07-17,490596,3247574,575322929417,3738170
495110,6592735001.685309,2021-07-18,361553,3623775,625723171614,3985328
535060,8342638744.426508,2021-07-19,436943,4447921,783755031533,4884864
532912,6429985951.193049,2021-07-20,453822,4788742,827689932414,5242564
539507,6318568294.279032,2021-07-21,418149,5010422,845727576062,5428571
565810,7341626907.419287,2021-07-22,464440,5578814,1001371703377,6043254
628194,6751762807.386184,2021-07-23,666924,6872295,1239138161529,7539219
647476,6090163120.314762,2021-07-24,689620,7914730,1317399035939,8604350
708245,5666927774.435458,2021-07-25,561147,8632388,1408927045872,9193535
805010,5936851994.091211,2021-07-26,701019,10427875,1695433934428,11128894
779397,5869956276.483762,2021-07-27,849574,11068636,1892374901931,11918210
804480,6223696931.316213,2021-07-28,924682,11999390,2052545084654,12924072
812077,6081204861.00234,2021-07-29,973340,12200447,2063224110636,13173787
850079,6014112542.293778,2021-07-30,767727,9680191,1672090263007,10447918
854498,5942543405.710603,2021-07-31,610203,8929328,1570723754281,9539531
850159,6113266049.74189,2021-08-01,697513,9105154,1630725370082,9802667
888237,5940026141.733616,2021-08-02,668246,8678969,1523442196979,9347215
928066,6133156905.930872,2021-08-03,747895,8354660,1424479364299,9102555
924108,6262822689.345927,2021-08-04,716871,8289320,1377064418734,9006191
923870,6027472052.431328,2021-08-05,627818,8344535,1319714500948,8972353
927845,5846732035.449466,2021-08-06,486533,7831921,1320028310135,8318454
937931,6013686808.391222,2021-08-07,477653,7827621,1316154116190,8305274
943046,5998486735.59853,2021-08-08,500809,8107276,1305934696163,8608085
945656,6144645713.349022,2021-08-09,448157,7898317,1276439822713,8346474
969141,6052400739.453196,2021-08-10,450192,7661720,1329135529553,8111912
1165208,6627176110.76966,2021-08-11,874334,9130036,1498032468664,10004370
958195,6369859759.034232,2021-08-12,651248,7014323,1248980438622,7665571
869248,6037751222.101859,2021-08-13,591433,6176746,1136403273482,6768179
803652,5963569871.192977,2021-08-14,421380,5501734,956305298379,5923114
826625,6237975452.195719,2021-08-15,455748,6136059,1062390097122,6591807
847734,5912328285.089383,2021-08-16,443458,6701001,1205788860277,7144459
823174,5898451072.1996355,2021-08-17,411343,6533398,1129117701298,6944741
809968,6019326983.268491,2021-08-18,455193,6357066,1103010686594,6812259
937397,5709186716.891721,2021-08-19,2098991,8006151,1332052167866,10105142
998938,5968719888.177927,2021-08-20,773620,7662531,1265243689406,8436151
932513,6008272039.810658,2021-08-21,563152,7932950,1292366351431,8496102
813121,5852577441.658419,2021-08-22,497788,6511771,1115708929030,7009559
887997,6082603586.068961,2021-08-23,568456,5785048,946851130480,6353504
821047,6556875539.844118,2021-08-24,557893,4767232,776574211298,5325125
809106,6943032674.9765415,2021-08-25,482214,4665749,780060416129,5147963
944530,6330203159.628841,2021-08-26,474938,5353897,868025207631,5828835
855586,6358922427.981746,2021-08-27,502240,5917574,1026185763705,6419814
943257,5934893656.781497,2021-08-28,468895,7210490,1296499060009,7679385
836592,5901972297.248643,2021-08-29,402585,6649423,1132398660566,7052008
917793,6101855444.277434,2021-08-30,874463,6930750,1178336604996,7805213
917268,5978350312.247824,2021-08-31,601468,7576711,1312913052634,8178179
948424,5995460824.935128,2021-09-01,601293,7335136,1229894632844,7936429
928429,5919696217.000067,2021-09-02,640087,7263424,1228052346323,7903511
990625,6256427441.013509,2021-09-03,566929,7434332,1229749904399,8001261
907288,6511130722.790369,2021-09-04,538689,6979144,1173743374965,7517833
870698,5890117810.801107,2021-09-05,521898,6411088,1048457233916,6932986
936997,6811960518.235152,2021-09-06,719102,6216694,1001824872542,6935796
970696,7190127651.806036,2021-09-07,611431,6512996,1027803225262,7124427
870018,6407040271.156595,2021-09-08,516830,5475244,900813281381,5992074
968960,6201072184.500439,2021-09-09,455513,5753571,918945628424,6209084
925441,6412080609.9801445,2021-09-10,617758,4952457,805241734081,5570215
871502,6439196289.906628,2021-09-11,341976,4280318,634357840746,4622294
747124,6801192595.173697,2021-09-12,402440,4165894,687475493533,4568334
781943,6392939482.398833,2021-09-13,535892,4339771,713781129906,4875663
907367,6699530986.726655,2021-09-14,453690,4816349,772043324716,5270039
878865,7351417819.265542,2021-09-15,419983,4511952,702119845421,4931935
955362,7077989002.533888,2021-09-16,503416,4869204,810680213157,5372620
936905,6392713310.047989,2021-09-17,440460,4785991,762618381920,5226451
1084195,6248205866.723435,2021-09-18,432146,5333831,825881971831,5765977
970918,6292767143.02598,2021-09-19,609804,4906639,763156876725,5516443
1041789,6705162063.328304,2021-09-20,813019,5390481,804414543251,6203500
1033357,6572774332.999532,2021-09-21,818211,5274862,828171962523,6093073
1160589,6519774231.795565,2021-09-22,632595,5215707,771447165078,5848302
1140706,6369605894.886615,2021-09-23,1021979,5453963,850136289428,6475942
980493,6606769667.586167,2021-09-24,735425,5031432,763875031735,5766857
832683,6556981631.400874,2021-09-25,434134,4279983,648139985950,4714117
893069,6478672701.993103,2021-09-26,425864,4531816,678715550468,4957680
919349,7059254013.5670395,2021-09-27,432640,4745404,719704824043,5178044
853517,6419963911.177041,2021-09-28,399865,4766111,721200463578,5165976
946424,6566826650.711203,2021-09-29,660150,5000090,756672144734,5660240
1008588,6311911964.28119,2021-09-30,790088,5527825,868191978671,6317913
954507,6412688324.713762,2021-10-01,387232,5208982,806085904480,5596214
856614,6349929100.807753,2021-10-02,581163,5031138,807505868675,5612301
954938,6070918807.308425,2021-10-03,457183,5146408,813977646021,5603591
956844,6368506518.370312,2021-10-04,634427,5200921,829201605445,5835348
1031822,6161437686.747973,2021-10-05,913805,5650508,899781482979,6564313
1067992,6304163192.612705,2021-10-06,518844,5895622,934383579465,6414466
1233079,6706418440.785106,2021-10-07,1037731,6779237,1058108284918,7816968
1070234,6487433496.775815,2021-10-08,533259,5605842,930121713788,6139101
1026425,6193468587.959387,2021-10-09,484579,5560545,910357295277,6045124
1050049,6342775992.278387,2021-10-10,528024,5742182,963496607457,6270206
1101380,6278863355.739361,2021-10-11,720865,6227046,1017839034569,6947911
1146875,6540424898.083239,2021-10-12,748757,6618011,1056716506705,7366768
1304151,6421082204.304601,2021-10-13,1092246,7337032,1120401523640,8429278
1411202,6134800874.029972,2021-10-14,664619,7102194,1062214585411,7766813
1166223,6406121694.173479,2021-10-15,709080,6265229,983513483041,6974309
1039300,6226437228.742209,2021-10-16,468364,5610031,903907959912,6078395
1116691,6017420542.33362,2021-10-17,758431,6264123,971788821841,7022554
1262324,6094116689.158806,2021-10-18,941734,7151589,1136590995208,8093323
